"Code","EAN","Four.Source","Description","Fournisseur","Rayon/Sous-rayon","Famille","Marque","P.A SOURCES €","PC ","PV","MARGE","NOUVEAU PA HT  ","ECART","COUTS LOG 2020","PC MAG","PV €","Marge","Stock","Statut","Gamme","Classement","CSS","Référence produit","En cours Cde","En cours Réc.","ventes 28J","vts 28j-1A","Besoin brt","PCB","Liste des EAN(s)","Nom Four.Source","PA Four.Source","Nature","Statut référencement","Date de mise sur le marché","Date de fin","TVA","DEEE HT","Taxes2"
"810135","3450553826089","100068","GS GRANDE PERRUCHES 4KG","PF1 - LOGISTIQUE MEUNG","3       /  14","71 - Alimentation coussins oiseaux","GASCO","3.745","4.73","8.5","0.33223529411765","3.828","0.022162883845127","0.26370989448793","4.8374814760998","8.95","0.35139913169611","423","VC","A","AA","254","70072","192","8","240","118","126","4"," , , ,3450553826089","GASCO","3.745","PERM","03","20/08/2014","","TxStd 20.%","0.00",""
"810136","3450553825952","100068","GS PERRUCHES 5KG","PF1 - LOGISTIQUE MEUNG","3       /  14","71 - Alimentation coussins oiseaux","GASCO","4.24","5.36","9.5","0.32294736842105","4.505","0.0625","0.26370989448793","5.6930130746681","10.5","0.34936993432364","244","VC","A","AA","217","70108","276","8","206","83","108","4"," , , ,3450553825952","GASCO","4.24","PERM","03","20/08/2014","","TxStd 20.%","0.00",""
"845391","3700543086758","100068","DERMOGEL CHIEN CHAT 125ML","PF1 - LOGISTIQUE MEUNG","5       /  21","115 - Parapharmacie / Hygiene chien","BIOVETOL","6.33","7.21","14.99","0.42281521014009","6.325","-0.00078988941548182","0.14","7.2105","14.991039528433","0.42281521014009","762","VC","B","CC","55","30106","1","0","18","0","8","1",",,,","GASCO","6.33","PERM","03","","","TxStd 20.%","0.00",""
"810133","3450553406953","100068","GS CANARIS 5KG","PF1 - LOGISTIQUE MEUNG","3       /  14","71 - Alimentation coussins oiseaux","GASCO","5.271","6.66","11.95","0.33121338912134","5.271","0","0.26370989448793","6.6610148538459","11.951820946465","0.33121338912134","323","VC","A","AA","194","70021","152","0","216","92","114","4"," , , ,3450553406953","GASCO","5.271","PERM","03","","","TxStd 20.%","0.00",""
"810137","3450553200087","100068","GS LAPIN NAIN 4KG","PF1 - LOGISTIQUE MEUNG","2       /  11","53 - Aliments rongeurs","GASCO","3.146","3.84","9.5","0.51494736842105","3.146","0","0.22","3.83812","9.4953489583333","0.51494736842105","541","VC","A","AAA","514","70083","392","12","470","226","256","4"," , , ,3450553200087","GASCO","3.146","PERM","03","","","TxStd 20.%","0.00",""
"810138","3450553200131","100068","GS COBAYE 3KG","PF1 - LOGISTIQUE MEUNG","2       /  11","53 - Aliments rongeurs","GASCO","2.82","3.44","9.5","0.56547368421053","2.82","0","0.22","3.4404","9.5011046511628","0.56547368421053","306","VC","A","A","188","70033","348","0","94","61","44","4"," , , ,3450553200131","GASCO","2.82","PERM","03","","","TxStd 20.%","0.00",""
"810139","3450553200117","100068","GS HAMSTER 3KG","PF1 - LOGISTIQUE MEUNG","2       /  11","53 - Aliments rongeurs","GASCO","3.053","3.72","9.5","0.53010526315789","3.053","0","0.22","3.72466","9.5119005376344","0.53010526315789","86","VC","B"," ","172","70080","160","0","76","28","37","4"," , , ,3450553200117","GASCO","3.053","PERM","02","20/08/2014","","TxStd 20.%","0.00",""
"810142","3450550305006","100068","GS COT&CO BIO POULE GR 5KG","PF1 - LOGISTIQUE MEUNG","3       /  90","73 - Alimentation hygiene basse-co","GASCO","5.535","7.69","11.95","0.22778242677824","5.535","0","0.39","7.69365","11.955671976593","0.22778242677824","276","VC","B","A","154","70045","20","0","116","45","56","5"," , , ,3000102714789","GASCO","5.535","PERM","03","20/08/2014","","Réduit 10%","0.00",""
"810143","3450550304009","100068","GS COT&CO BIO VOLAILLE GR 5KG","PF1 - LOGISTIQUE MEUNG","3       /  90","73 - Alimentation hygiene basse-co","GASCO","5.983","8.32","11.95","0.16451882845188","5.983","0","0.39","8.31637","11.944786237981","0.16451882845188","125","VC","B","B","156","70046","94","0","66","31","33","5"," , , ,3000102714765","GASCO","5.983","PERM","04","20/08/2014","29/01/2020","Réduit 10%","0.00",""
"810144","3450550303002","100068","GS COT&CO BIO VOLAILLE MI 5KG","PF1 - LOGISTIQUE MEUNG","3       /  90","73 - Alimentation hygiene basse-co","GASCO","6.155","8.56","13.95","0.26365591397849","6.155","0","0.39","8.55545","13.942584988318","0.26365591397849","139","VC","B","A","165","70047","45","0","166","15","88","5"," , , ","GASCO","6.155","PERM","04","20/08/2014","29/01/2020","Réduit 10%","0.00",""
"815632","3450550301008","100068","GS COT&CO BIO PONDEUSE 10KG","PF1 - LOGISTIQUE MEUNG","3       /  90","73 - Alimentation hygiene basse-co","GASCO","10.621","14.76","22.95","0.22823529411765","10.621","0","0.39","14.76319","22.954960060976","0.22823529411765","116","VC","B","AAA","165","70044","172","0","116","66","60","1"," , , ,3450550301008","GASCO","10.621","PERM","03","11/09/2015","","Réduit 10%","0.00",""
"822527","3450552000404","100068","MELANGE PONDEUSE BIO 8KG","PF1 - LOGISTIQUE MEUNG","3       /  90","73 - Alimentation hygiene basse-co","GASCO","7.448","10.35","13.95","0.10967741935484","7.448","0","0.39","10.35272","13.953666086957","0.10967741935484","223","VC","B","AAA","343","10106-20","360","8","494","140","246","1","3450552000404,","GASCO","7.448","PERM","03","15/12/2016","","Réduit 10%","0.00",""
"824024","3700602095967","100068","ANIMALIS MELANG BASSE COUR 5KG","PF1 - LOGISTIQUE MEUNG","3       /  90","73 - Alimentation hygiene basse-co","ANIMALIS","2.673","3.72","7.5","0.4048","2.673","0","0.39","3.71547","7.4908669354839","0.4048","1057","VC","A","AA","348","26008-10","0","5","172","95","86","5","3700602095967,,","GASCO","2.673","PERM","03","15/05/2017","","Réduit 10%","0.00",""
"824025","3700602095974","100068","ANIMALIS MELANG BASSECOUR 20KG","PF1 - LOGISTIQUE MEUNG","3       /  90","73 - Alimentation hygiene basse-co","ANIMALIS","7.796","10.84","12.95","-0.0044787644787645","7.796","0","0.39","10.83644","12.94574704797","-0.0044787644787645","1641","VC","A","A","626","26008-30","76","3","712","388","384","1","3700602095974,,","GASCO","7.796","PERM","03","15/05/2017","","Réduit 10%","0.00",""
"824078","3700602096674","100068","ANIMALIS MAIS 20KG","PF1 - LOGISTIQUE MEUNG","3       /  90","73 - Alimentation hygiene basse-co","ANIMALIS","6.067","8.43","11.95","0.15347280334728","6.067","0","0.39","8.43313","11.954436951364","0.15347280334728","244","VC","A","A","170","26001-30","14","4","98","37","47","1","3700602096674,,","GASCO","6.067","PERM","03","17/05/2017","","Réduit 10%","0.00",""
"824079","3700602096681","100068","ANIMALIS MAIS CONCASSE 20KG","PF1 - LOGISTIQUE MEUNG","3       /  90","73 - Alimentation hygiene basse-co","ANIMALIS","6.659","9.26","12.95","0.1419305019305","6.659","0","0.39","9.25601","12.944420032397","0.1419305019305","340","VC","A","AA","208","26002-30","115","7","170","63","85","1","3700602096681,,","GASCO","6.659","PERM","03","17/05/2017","","Réduit 10%","0.00",""
"824080","3700602095257","100068","ANIMALIS MELANGE PONDEUSE 20KG","PF1 - LOGISTIQUE MEUNG","3       /  90","73 - Alimentation hygiene basse-co","ANIMALIS","8.504","11.82","13.95","-0.016774193548387","8.504","0","0.39","11.82056","13.950660913706","-0.016774193548387","2100","VC","A","AAA","1699","26003-30","1309","68","2190","747","1208","1","3700602095257,","GASCO","8.504","PERM","03","17/05/2017","","Réduit 10%","0.00",""
"824081","3700602095271","100068","ANIMALIS MEL POULE SUP 20KG","PF1 - LOGISTIQUE MEUNG","3       /  90","73 - Alimentation hygiene basse-co","ANIMALIS","7.908","10.99","13.5","0.023111111111111","7.908","0","0.39","10.99212","13.502604185623","0.023111111111111","503","VC","A","A","308","26005-30","233","5","286","103","153","1","3700602095271,,","GASCO","7.908","PERM","03","17/05/2017","","Réduit 10%","0.00",""
