"Observations","EAN 13 de l'article","Référence article chez le fournisseur","Code du fournisseur dans GCE","Mot clé GCE","Désgination courte (ticket de caisse)","Désignation article","Désignation article complément","Désignation longue pour le WEB","Code tva GCE (2:5,5% - 6:20% - 8:10%))","Code Rayon GCE","Code Sous Rayon GCE","Code Famille GCE","Code Gamme GCE (A, B, C,L)","Statut GCE (01, 02, 03, 04, 05)","Code blocage GCE (VC, VN)","Nature GCE (PERM, OSHOT, …)","Marque gérée dans GCE","O/N","En kg ou litres","K pour KG, L pour Litre sinon U","En grammes (emballage compris)","Complément d'information sur poids","Complément d'information sur volume","Taxe DEEE","Prix d'achat net","U dans la plupart des cas (CAR, SAC, … sinon)","Si CAR ou SAC, alors combien d'unités consommateurs","Quantité minimale pour commande vers Fournisseur","Multiple suivant d'achat","Date d'application pa","Prix de vente TTC Enseigne","Date d'application pv","Code de la plateforme Animalis (PF0 ou CAM)","Prix de cession Magasin","U dans la plupart des cas (CAR, SAC, … sinon)","Si CAR ou SAC, alors combien d'unités cosommateurs","Quantité minimale pour commande magasin vers PF","Prix de vente TTC promo","Date d'application pv promo","Date de fin pv promo","Code du magasin dans GCE","Code du magasin dans GCE","CSS_Petit Magasin","CSS_Moyen Magasin","CSS_Grand Magasin","Vide si Inerte VIV pour Vivant","O si présent WEB","Date de mise en vente","Date de fin de mise en vente","O Si dluo","Segment N pour Naturel O pour Véto","O Si display","C pour création","Non renseigné en création / Obligatoire en modification"
"","3116457608724","76087.2","3373","","ARTEMIS NOIR T103 COUSSIN OVAL ","ARTEMIS NOIR T103 COUSSIN OVAL ","","ARTEMIS NOIR T103 COUSSIN OVAL ","6","5","20","110","B","03","VC","COLLEC","IMAGE","N","1.18","K","1.18","","","0.05","21","U","","1","1","01/08/2020","45.95","01/08/2020","","","","","","","","","","","1","1","1","","N","01/08/2020","31/12/2020","NON","","NON","C",""
"","3116457608816","76088.1","3373","","ARTEMIS BLEU T115 PLAID ","ARTEMIS BLEU T115 PLAID ","","ARTEMIS BLEU T115 PLAID ","6","5","20","110","B","03","VC","COLLEC","IMAGE","N","1.078","K","1.078","","","0.05","20.3","U","","1","1","01/08/2020","46.95","01/08/2020","","","","","","","","","","","1","1","1","","N","01/08/2020","31/12/2020","NON","","NON","C",""
"","3116457608823","76088.2","3373","","ARTEMIS NOIR T115 PLAID ","ARTEMIS NOIR T115 PLAID ","ARTEMIS NOIR T115 PLAID ","ARTEMIS NOIR T115 PLAID ","6","5","20","110","B","03","VC","COLLEC","IMAGE","N","1.078","K","1.078","","","0.05","20.3","U","","1","1","01/08/2020","46.95","01/08/2020","","","","","","","","","","","1","1","1","","N","01/08/2020","31/12/2020","NON","","NON","C",""
"","3116457609110","76091.1","3373","","ARTEMIS BLEU T85 COSY ","ARTEMIS BLEU T85 COSY ","","ARTEMIS BLEU T85 COSY ","6","5","20","110","B","03","VC","COLLEC","IMAGE","N","0.8","K","0.8","","","0.05","18.13","U","","1","1","01/08/2020","39.95","01/08/2020","","","","","","","","","","","1","1","1","","N","01/08/2020","31/12/2020","NON","","NON","C",""
"","3116457838015","78380.1","3373","","PETBED 50X75 PATTES GRIS/BLANC","PETBED 50X75 PATTES GRIS/BLANC","","PETBED 50X75 PATTES GRIS/BLANC","6","5","20","110","A","03","VC","PERM","MARTIN SELLIER","N","0.5","K","0.5","","","0.05","9.18","U","","1","1","01/08/2020","21.95","01/08/2020","","","","","","","","","","","1","1","1","","N","01/08/2020","31/12/2020","NON","","NON","C",""
"","3116457838022","78380.2","3373","","PETBED 50X75 DOG GRIS/BLANC","PETBED 50X75 DOG GRIS/BLANC","","PETBED 50X75 DOG GRIS/BLANC","6","5","20","110","A","03","VC","PERM","MARTIN SELLIER","N","0.5","K","0.5","","","0","9.18","U","","1","1","01/08/2020","21.95","01/08/2020","","","","","","","","","","","1","1","1","","N","01/08/2020","31/12/2020","NON","","NON","C",""
"","3116457838114","78381.1","3373","","PETBED 75X100 PATTES GRIS/BLANC","PETBED 75X100 PATTES GRIS/BLANC","","PETBED 75X100 PATTES GRIS/BLANC","6","5","20","110","A","03","VC","PERM","MARTIN SELLIER","N","0.9","K","0.9","","","0","16.17","U","","1","1","01/08/2020","36.95","01/08/2020","","","","","","","","","","","1","1","1","","N","01/08/2020","31/12/2020","NON","","NON","C",""
"","3116457838121","78381.2","3373","","PETBED 75X100 DOG GRIS/BLANC","PETBED 75X100 DOG GRIS/BLANC","","PETBED 75X100 DOG GRIS/BLANC","6","5","20","110","A","03","VC","PERM","MARTIN SELLIER","N","0.9","K","0.9","","","0","16.17","U","","1","1","01/08/2020","36.95","01/08/2020","","","","","","","","","","","1","1","1","","N","01/08/2020","31/12/2020","NON","","NON","C",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
